"mean","cil","ciu","rhat","params"
-5.32807962512109,-9.96403311634271,-2.52956466272418,1.00727951053219,"alpha[230]"
-5.27540245392629,-9.95716397580541,-2.382133708261,1.00584119137271,"alpha[231]"
-5.46665737409665,-10.0325275536583,-2.85694160579258,1.00676105776475,"alpha[232]"
-5.47174253466776,-10.0159440495572,-2.84143562125543,1.00714989761667,"alpha[233]"
-5.20717167684648,-9.87895073414726,-2.22993236428273,1.00451051719044,"alpha[234]"
-5.18686403205069,-9.8525667565792,-2.23876733577997,1.00926786477953,"alpha[235]"
-5.29603534479789,-9.96759424599114,-2.41103740362149,1.00242557563563,"alpha[236]"
-5.2874579022877,-9.96335988912645,-2.45150560424394,1.00455712335848,"alpha[237]"
-5.45302896770948,-10.036953436486,-2.77199833388494,1.00848050618251,"alpha[238]"
-5.22016032406088,-9.88238152014134,-2.24779754207988,1.00706695147639,"alpha[239]"
-5.30973782937634,-9.89556187325229,-2.55004924716268,1.00711056321183,"alpha[240]"
-5.46995209368339,-10.1312316395487,-2.76088938667361,1.00651549209581,"alpha[241]"
-5.37126979529021,-10.1005239386856,-2.58335110366054,1.00557237644115,"alpha[242]"
-5.20290571791731,-9.95514798175532,-2.16100278360407,1.0091663763758,"alpha[243]"
-5.2486473012533,-9.88632446431311,-2.35379062387334,1.00789892054784,"alpha[244]"
1.15551925147087,0.573680566542767,1.85229788522764,1.00461040971444,"beta1"
-0.172499845237626,-0.631825987595351,0.312807569253047,1.00079166700049,"beta2"
0.456334523492923,0.131793031656463,0.786440446854726,1.00316090361354,"beta3"
0.150671083237533,-0.346304502494064,0.611803842174011,1.00010265844899,"beta4"
0.223872029348685,-0.281743740953976,0.763917946480023,1.00027027314153,"beta5"
-0.527087333157242,-1.27733981721638,0.0989473847778785,1.00086728538371,"beta6"
-0.540327046316019,-1.09051937335491,-0.0372205913000774,1.00220170225742,"beta7"
-0.533245815529435,-1.24011591281028,0.0772433397033255,1.00114867097323,"beta8"
-5.17221159159957,-7.51746221592179,-3.83598567071712,1.01469075512182,"mu"
